image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000287_01201_d_0000765,68,50-100,483.0,small,0.1616,5,24,1,1
0000287_01201_d_0000765,68,50-100,902.0,small,0.1918,12,22,1,1
0000287_01201_d_0000765,68,50-100,400.0,small,0.0,7,18,1,1
0000287_01201_d_0000765,68,50-100,500.0,small,0.0,5,17,1,1
0000287_01201_d_0000765,68,50-100,720.0,small,0.1918,14,21,1,1
0000287_01201_d_0000765,68,50-100,304.0,small,0.0072,4,9,1,1
0000287_01201_d_0000765,68,50-100,702.0,small,0.2689,1,54,1,1
0000287_01201_d_0000765,68,50-100,440.0,small,0.2689,1,76,1,1
0000287_01201_d_0000765,68,50-100,440.0,small,0.0,1,34,1,1
0000287_01201_d_0000765,68,50-100,70.0,small,0.2222,3,45,1,1
0000287_01201_d_0000765,68,50-100,84.0,small,0.2222,3,156,1,1
0000287_01201_d_0000765,68,50-100,210.0,small,0.2006,8,41,1,1
0000287_01201_d_0000765,68,50-100,221.0,small,0.2006,9,85,1,1
0000287_01201_d_0000765,68,50-100,80.0,small,0.3684,3,63,1,1
0000287_01201_d_0000765,68,50-100,50.0,small,0.3684,3,108,1,1
0000287_01201_d_0000765,68,50-100,255.0,small,0.0072,6,31,1,1
0000287_01201_d_0000765,68,50-100,70.0,small,0.4468,4,117,1,1
0000287_01201_d_0000765,68,50-100,66.0,small,0.4468,4,109,1,1
0000287_01201_d_0000765,68,50-100,208.0,small,0.0916,9,39,1,1
0000287_01201_d_0000765,68,50-100,276.0,small,0.0661,7,40,1,1
0000287_01201_d_0000765,68,50-100,196.0,small,0.0,2,19,1,1
0000287_01201_d_0000765,68,50-100,240.0,small,0.0,1,35,1,1
0000287_01201_d_0000765,68,50-100,975.0,small,0.3207,2,42,1,1
0000287_01201_d_0000765,68,50-100,1908.0,medium,0.3207,2,47,1,1
0000287_01201_d_0000765,68,50-100,1232.0,medium,0.0,2,79,1,1
0000287_01201_d_0000765,68,50-100,4488.0,medium,0.0073,4,60,1,1
0000287_01201_d_0000765,68,50-100,2156.0,medium,0.0073,1,165,1,1
0000287_01201_d_0000765,68,50-100,988.0,small,0.0,0,28,1,1
0000287_01201_d_0000765,68,50-100,60.0,small,0.0,0,515,0,1
0000287_01201_d_0000765,68,50-100,110.0,small,0.0,2,69,1,1
0000287_01201_d_0000765,68,50-100,100.0,small,0.0,2,209,1,1
0000287_01201_d_0000765,68,50-100,50.0,small,0.0,1,668,0,1
0000287_01201_d_0000765,68,50-100,40.0,small,0.0,1,-1,0,0
0000287_01201_d_0000765,68,50-100,70.0,small,0.0,0,176,1,1
0000287_01401_d_0000766,68,50-100,1380.0,medium,0.0169,2,44,1,1
0000287_01401_d_0000766,68,50-100,1320.0,medium,0.1931,2,140,1,1
0000287_01401_d_0000766,68,50-100,756.0,small,0.1931,2,39,1,1
0000287_01401_d_0000766,68,50-100,735.0,small,0.0,0,22,1,1
0000287_01401_d_0000766,68,50-100,3648.0,medium,0.0,4,9,1,1
0000287_01401_d_0000766,68,50-100,464.0,small,0.4531,2,19,1,1
0000287_01401_d_0000766,68,50-100,434.0,small,0.4531,1,28,1,1
0000287_01401_d_0000766,68,50-100,2703.0,medium,0.0251,4,3,1,1
0000287_01401_d_0000766,68,50-100,1702.0,medium,0.0251,3,4,1,1
0000287_01401_d_0000766,68,50-100,1024.0,medium,0.2345,3,35,1,1
0000287_01401_d_0000766,68,50-100,550.0,small,0.2345,2,23,1,1
0000287_01401_d_0000766,68,50-100,396.0,small,0.0,4,13,1,1
0000287_01401_d_0000766,68,50-100,729.0,small,0.0,2,14,1,1
0000287_01401_d_0000766,68,50-100,1015.0,small,0.4377,3,75,1,1
0000287_01401_d_0000766,68,50-100,1170.0,medium,0.3344,3,99,1,1
0000287_01401_d_0000766,68,50-100,1120.0,medium,0.4377,3,51,1,1
0000287_01401_d_0000766,68,50-100,825.0,small,0.3344,3,24,1,1
0000287_01401_d_0000766,68,50-100,1813.0,medium,0.0,2,17,1,1
0000287_01401_d_0000766,68,50-100,12096.0,large,0.0,9,26,1,1
0000287_01401_d_0000766,68,50-100,8383.0,medium,0.0746,9,0,1,1
0000287_01401_d_0000766,68,50-100,5852.0,medium,0.0746,7,1,1,1
0000287_01401_d_0000766,68,50-100,7080.0,medium,0.1968,7,29,1,1
0000287_01401_d_0000766,68,50-100,5618.0,medium,0.1968,8,11,1,1
0000287_01401_d_0000766,68,50-100,1280.0,medium,0.3,3,5,1,1
0000287_01401_d_0000766,68,50-100,800.0,small,0.3,2,67,1,1
0000287_01401_d_0000766,68,50-100,4030.0,medium,0.095,9,16,1,1
0000287_01401_d_0000766,68,50-100,374.0,small,0.1333,1,189,1,1
0000287_01401_d_0000766,68,50-100,2058.0,medium,0.1333,8,15,1,1
0000287_01401_d_0000766,68,50-100,1440.0,medium,0.0294,6,12,1,1
0000287_01401_d_0000766,68,50-100,322.0,small,0.335,1,20,1,1
0000287_01401_d_0000766,68,50-100,459.0,small,0.335,1,36,1,1
0000287_01401_d_0000766,68,50-100,1394.0,medium,0.0003,7,6,1,1
0000287_01401_d_0000766,68,50-100,1188.0,medium,0.0,0,7,1,1
0000287_01401_d_0000766,68,50-100,2048.0,medium,0.042,8,2,1,1
0000287_01401_d_0000766,68,50-100,1624.0,medium,0.042,11,8,1,1
0000287_01401_d_0000766,68,50-100,231.0,small,0.5172,1,30,1,1
0000287_01401_d_0000766,68,50-100,209.0,small,0.5172,1,41,1,1
0000287_01401_d_0000766,68,50-100,625.0,small,0.1577,7,18,1,1
0000287_01401_d_0000766,68,50-100,520.0,small,0.1577,8,25,1,1
0000287_01401_d_0000766,68,50-100,152.0,small,0.1565,3,46,1,1
0000287_01401_d_0000766,68,50-100,114.0,small,0.1565,2,47,1,1
0000287_01401_d_0000766,68,50-100,720.0,small,0.3074,11,43,1,1
0000287_01401_d_0000766,68,50-100,390.0,small,0.3074,6,48,1,1
0000287_01401_d_0000766,68,50-100,288.0,small,0.3204,7,50,1,1
0000287_01401_d_0000766,68,50-100,289.0,small,0.3204,6,32,1,1
0000287_01401_d_0000766,68,50-100,342.0,small,0.0,2,10,1,1
0000287_01401_d_0000766,68,50-100,306.0,small,0.0,5,21,1,1
0000287_01401_d_0000766,68,50-100,195.0,small,0.0,3,27,1,1
0000287_01401_d_0000766,68,50-100,378.0,small,0.069,9,34,1,1
0000287_01401_d_0000766,68,50-100,80.0,small,0.0,1,40,1,1
0000287_01401_d_0000766,68,50-100,119.0,small,0.019,4,86,1,1
0000287_01401_d_0000766,68,50-100,180.0,small,0.2397,5,89,1,1
0000287_01401_d_0000766,68,50-100,182.0,small,0.2397,4,219,1,1
0000287_01401_d_0000766,68,50-100,420.0,small,0.0332,6,71,1,1
0000287_01401_d_0000766,68,50-100,240.0,small,0.2082,5,63,1,1
0000287_01401_d_0000766,68,50-100,288.0,small,0.2055,4,56,1,1
0000287_01401_d_0000766,68,50-100,240.0,small,0.2055,4,79,1,1
0000287_01401_d_0000766,68,50-100,169.0,small,0.0,2,171,1,1
0000287_01401_d_0000766,68,50-100,45.0,small,0.0,0,162,1,1
0000287_01401_d_0000766,68,50-100,65.0,small,0.0,0,64,1,1
0000287_01401_d_0000766,68,50-100,36.0,small,0.0,2,-1,0,0
0000287_01401_d_0000766,68,50-100,55.0,small,0.1449,3,-1,0,0
0000287_01401_d_0000766,68,50-100,30.0,small,0.0989,2,-1,0,0
0000287_01401_d_0000766,68,50-100,70.0,small,0.0989,2,111,1,1
0000287_01401_d_0000766,68,50-100,42.0,small,0.019,2,-1,0,0
0000287_01401_d_0000766,68,50-100,280.0,small,0.0,0,129,1,1
0000287_01401_d_0000766,68,50-100,24.0,small,0.386,1,-1,0,0
0000287_01401_d_0000766,68,50-100,55.0,small,0.386,1,59,1,1
0000287_01601_d_0000767,74,50-100,3485.0,medium,0.0,1,14,1,1
0000287_01601_d_0000767,74,50-100,6586.0,medium,0.0,7,1,1,1
0000287_01601_d_0000767,74,50-100,3927.0,medium,0.0862,11,2,1,1
0000287_01601_d_0000767,74,50-100,3658.0,medium,0.0,2,0,1,1
0000287_01601_d_0000767,74,50-100,754.0,small,0.0,4,15,1,1
0000287_01601_d_0000767,74,50-100,667.0,small,0.0855,9,28,1,1
0000287_01601_d_0000767,74,50-100,455.0,small,0.0,4,9,1,1
0000287_01601_d_0000767,74,50-100,378.0,small,0.3034,10,27,1,1
0000287_01601_d_0000767,74,50-100,390.0,small,0.0,4,29,1,1
0000287_01601_d_0000767,74,50-100,240.0,small,0.0,1,25,1,1
0000287_01601_d_0000767,74,50-100,1628.0,medium,0.0865,7,7,1,1
0000287_01601_d_0000767,74,50-100,1802.0,medium,0.0865,3,8,1,1
0000287_01601_d_0000767,74,50-100,884.0,small,0.1803,8,17,1,1
0000287_01601_d_0000767,74,50-100,3420.0,medium,0.1113,13,4,1,1
0000287_01601_d_0000767,74,50-100,3128.0,medium,0.1113,11,3,1,1
0000287_01601_d_0000767,74,50-100,2482.0,medium,0.0,8,5,1,1
0000287_01601_d_0000767,74,50-100,1650.0,medium,0.1186,6,6,1,1
0000287_01601_d_0000767,74,50-100,1152.0,medium,0.0971,4,12,1,1
0000287_01601_d_0000767,74,50-100,775.0,small,0.1154,7,16,1,1
0000287_01601_d_0000767,74,50-100,319.0,small,0.0304,3,31,1,1
0000287_01601_d_0000767,74,50-100,210.0,small,0.2562,3,70,1,1
0000287_01601_d_0000767,74,50-100,190.0,small,0.0,0,36,1,1
0000287_01601_d_0000767,74,50-100,190.0,small,0.0304,2,184,1,1
0000287_01601_d_0000767,74,50-100,300.0,small,0.2562,3,52,1,1
0000287_01601_d_0000767,74,50-100,561.0,small,0.0,4,34,1,1
0000287_01601_d_0000767,74,50-100,1332.0,medium,0.1827,7,20,1,1
0000287_01601_d_0000767,74,50-100,1480.0,medium,0.0611,7,13,1,1
0000287_01601_d_0000767,74,50-100,1591.0,medium,0.1803,11,21,1,1
0000287_01601_d_0000767,74,50-100,56.0,small,0.0293,1,-1,0,0
