image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273275,10f19a000fa7ceeee",30,<50,218,28,29,29,29,53,0,64,0,0,0,0,0,30,29
"273275,10f7d300015fdc5eb",7,<50,227,5,7,7,7,17,0,24,0,0,0,0,0,7,7
"273275,11004c0008ca61fe9",6,<50,174,5,5,5,5,7,0,16,0,0,0,0,0,6,5
"273275,1102cb00042568c43",11,<50,99,11,11,11,11,15,0,19,0,0,0,0,0,11,11
"273275,110f62000e5414853",5,<50,150,1,1,1,1,6,0,12,0,0,0,0,0,5,1
"273275,110fd5000174bcd2e",58,50-100,412,14,20,20,20,9,0,28,0,0,0,50,16,8,4
"273275,1110c700086950033",33,<50,313,19,21,22,22,16,0,18,0,0,0,19,10,14,11
"273275,111470006a465947",36,<50,972,28,32,32,33,51,0,71,0,18,16,17,15,1,1
"273275,111df6000c9ce34b4",30,<50,304,24,25,25,25,22,0,29,0,21,17,9,8,0,0
"273275,1122960009535d9d5",25,<50,320,12,13,14,14,28,0,39,0,0,0,14,4,11,9
"273275,112e8a000e5d9d57b",45,<50,169,30,32,32,32,34,0,44,0,0,0,0,0,45,32
"273275,1131e60002091109c",11,<50,124,2,2,2,2,10,0,14,0,0,0,0,0,11,2
"273275,113a79000b59fc0eb",25,<50,365,22,22,22,22,30,0,37,0,0,0,0,0,25,22
"273275,11424600085313315",92,50-100,425,40,43,43,43,33,0,42,0,0,0,84,39,8,4
"273275,114db7000e6138bf6",12,<50,91,11,11,11,11,21,0,24,0,0,0,0,0,12,11
"273275,11682100012f7b062",11,<50,170,10,10,10,10,16,0,19,0,0,0,0,0,11,10
"273275,1182b1000969afa44",3,<50,80,2,2,2,2,3,0,7,0,0,0,0,0,3,2
"273275,11864a000ebfb6765",53,50-100,341,17,30,32,32,50,0,82,0,0,0,11,2,42,28
