image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273275,102e6f000248d191a",11,<50,202,3,4,4,4,10,0,17,0,0,0,0,0,11,4
"273275,1038bc000d0fa9dba",7,<50,78,7,7,7,7,7,0,10,0,0,0,0,0,7,7
"273275,103a6e0005595ca40",11,<50,215,6,6,6,6,5,0,11,0,0,0,4,4,7,2
"273275,103ab10002ef83676",28,<50,319,22,24,24,24,24,0,34,0,0,0,0,0,28,24
"273275,10459300057c9c8d1",10,<50,370,10,10,10,10,11,0,17,0,0,0,0,0,10,10
"273275,1052c00006278ec1c",12,<50,508,9,9,9,9,9,0,22,0,0,0,6,5,6,4
"273275,1059670006e19bbb2",27,<50,543,16,16,18,18,29,0,35,0,0,0,0,0,27,16
"273275,105b44000a49f7fb5",17,<50,274,10,13,13,13,19,0,24,0,0,0,1,0,16,13
"273275,105d8000015744e9f",16,<50,315,12,14,14,14,21,0,34,0,0,0,0,0,16,14
"273275,106a20000df0ef0f9",7,<50,210,5,5,5,5,8,0,11,0,0,0,0,0,7,5
"273275,106e6300011c001bb",6,<50,266,4,4,4,4,12,0,14,0,0,0,0,0,6,4
"273275,1077ba00071c902af",18,<50,587,15,16,18,18,19,0,30,0,0,0,8,7,10,9
"273275,1077dd000a9aab1d8",12,<50,288,10,10,10,10,18,0,29,0,0,0,0,0,12,10
"273275,107f96000c89bb5b8",37,<50,624,24,29,29,29,39,0,46,0,0,0,9,5,28,24
"273275,107fc000f0823c6d",4,<50,271,4,4,4,4,8,0,15,0,1,1,1,1,2,2
"273275,107ff9000b07f2b82",53,50-100,966,19,26,38,44,33,0,72,0,0,0,0,0,53,26
"273275,10872d00027b15ed4",3,<50,278,2,2,2,2,4,0,9,0,0,0,0,0,3,2
"273275,10876a000fa184daf",19,<50,363,5,7,8,8,11,0,18,0,0,0,4,0,15,7
