image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000193_00000_d_0000103,63,50-100,890,41,51,56,57,26,0,50,0,54,42,9,9,0,0
0000193_01497_d_0000111,87,50-100,785,56,72,77,80,40,0,76,0,72,58,15,14,0,0
0000193_01705_d_0000112,134,100-150,1000,56,83,97,102,41,0,73,0,117,67,17,16,0,0
0000193_01876_d_0000113,107,100-150,957,55,71,85,90,24,0,45,0,97,61,10,10,0,0
0000193_02029_d_0000114,93,50-100,952,49,69,75,80,21,0,55,0,82,60,11,9,0,0
0000193_02212_d_0000115,78,50-100,949,40,57,61,64,34,0,67,0,73,53,5,4,0,0
0000193_02416_d_0000116,50,50-100,777,27,37,43,45,12,0,31,0,47,34,3,3,0,0
0000193_02606_d_0000117,49,<50,828,24,36,38,39,11,0,31,0,48,36,1,0,0,0
0000193_02725_d_0000118,39,<50,708,28,33,36,37,8,0,21,0,38,33,1,0,0,0
0000194_00000_d_0000119,54,50-100,849,39,42,43,44,20,0,37,0,51,40,3,2,0,0
0000194_00200_d_0000120,76,50-100,752,38,54,58,59,27,0,61,0,67,45,9,9,0,0
0000194_00399_d_0000121,143,100-150,994,69,101,110,120,43,0,94,0,137,95,6,6,0,0
0000194_00625_d_0000122,83,50-100,876,51,63,66,69,35,0,72,0,73,54,10,9,0,0
0000194_00800_d_0000123,54,50-100,740,33,39,41,42,32,0,47,0,41,28,13,11,0,0
0000194_00998_d_0000124,42,<50,635,18,28,32,32,16,0,23,0,37,24,5,4,0,0
0000194_01192_d_0000125,23,<50,353,18,19,19,19,10,0,17,0,18,15,5,4,0,0
0000196_04512_d_0000144,69,50-100,955,42,57,62,62,22,0,40,0,62,51,7,6,0,0
0000199_01269_d_0000166,16,<50,226,12,12,12,12,16,0,26,0,7,3,8,8,1,1
0000213_02500_d_0000240,94,50-100,976,47,59,67,69,25,0,54,0,85,55,9,4,0,0
0000213_02965_d_0000241,94,50-100,890,58,69,77,80,43,0,70,0,62,41,29,25,3,3
0000213_03478_d_0000242,115,100-150,883,70,90,98,101,49,0,87,0,70,45,40,40,5,5
0000213_03920_d_0000243,164,150-300,866,78,120,136,141,56,0,94,0,98,60,60,54,6,6
0000213_04405_d_0000244,106,100-150,923,62,88,94,96,44,0,74,0,62,45,38,37,6,6
0000213_04998_d_0000245,137,100-150,986,70,95,108,116,50,0,97,0,94,59,38,31,5,5
