image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000194_01192_d_0000125,23,<50,588,5,7,7,7,10,0,17,0,18,3,5,4,0,0
0000196_04512_d_0000144,69,50-100,984,16,16,19,19,16,0,37,0,62,12,7,4,0,0
0000199_01269_d_0000166,16,<50,370,10,10,10,10,12,0,25,0,7,2,8,8,1,0
0000213_02500_d_0000240,94,50-100,977,18,23,25,26,20,0,41,0,85,20,9,3,0,0
0000213_02965_d_0000241,94,50-100,920,24,27,30,31,39,0,62,0,62,9,29,16,3,2
0000213_03478_d_0000242,115,100-150,909,38,46,51,56,45,0,73,0,70,19,40,24,5,3
0000213_03920_d_0000243,164,150-300,892,51,62,72,77,46,0,82,0,98,17,60,39,6,6
0000213_04405_d_0000244,106,100-150,898,32,43,49,49,39,0,58,0,62,16,38,23,6,4
0000213_04998_d_0000245,137,100-150,985,37,47,53,57,40,0,79,0,94,18,38,24,5,5
0000213_05340_d_0000246,138,100-150,1000,42,57,61,65,47,0,99,0,95,30,40,24,3,3
0000213_05745_d_0000247,101,100-150,953,42,51,54,56,49,0,80,0,55,15,43,33,3,3
0000215_00000_d_0000256,157,150-300,800,35,39,45,48,41,0,63,0,132,19,24,19,1,1
0000215_00447_d_0000257,53,50-100,905,31,36,36,39,36,0,61,0,17,8,35,27,1,1
0000215_00909_d_0000258,93,50-100,1000,42,51,53,55,40,0,56,0,54,22,37,27,2,2
0000215_01395_d_0000259,56,50-100,750,35,37,40,40,32,0,51,0,23,11,27,20,6,6
0000215_01869_d_0000260,78,50-100,1000,33,36,41,43,40,0,68,0,50,12,24,20,4,4
0000215_02319_d_0000261,107,100-150,905,32,34,41,42,44,0,63,0,73,7,32,25,2,2
0000215_02667_d_0000262,83,50-100,804,42,50,52,52,46,0,75,0,48,20,35,30,0,0
0000215_02932_d_0000263,48,<50,869,29,32,32,34,32,0,46,0,18,8,27,21,3,3
0000215_03226_d_0000264,23,<50,713,14,15,15,15,9,0,18,0,12,6,10,8,1,1
0000216_00520_d_0000001,109,100-150,1000,28,42,49,53,1,0,7,0,78,22,31,20,0,0
0000220_01242_d_0000004,37,<50,607,12,14,15,15,14,0,33,0,25,6,10,6,2,2
0000223_01802_d_0000005,64,50-100,979,29,30,30,30,21,0,53,0,41,16,23,14,0,0
0000237_00001_d_0000001,15,<50,523,3,4,7,7,2,0,4,0,13,2,2,2,0,0
0000242_00001_d_0000001,42,<50,826,15,18,21,21,18,0,31,0,28,10,13,7,1,1
0000242_00500_d_0000002,53,50-100,983,16,21,22,25,18,0,31,0,41,14,12,7,0,0
0000242_00627_d_0000003,45,<50,898,21,23,23,23,19,0,32,0,38,17,6,5,1,1
