image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000155_00401_d_0000001,122,100-150,534,59,74,82,82,44,0,75,0,106,60,16,14,0,0
0000155_00801_d_0000001,106,100-150,594,58,76,85,85,30,0,68,0,86,59,20,17,0,0
0000155_01201_d_0000001,94,50-100,577,43,64,71,71,20,0,57,0,82,53,12,11,0,0
0000155_01601_d_0000001,73,50-100,660,42,54,58,58,27,0,78,0,63,44,10,10,0,0
0000155_01871_d_0000001,55,50-100,430,33,40,41,41,15,0,39,0,46,33,9,7,0,0
0000162_00001_d_0000001,34,<50,283,26,28,28,28,18,0,28,0,26,20,7,7,1,1
0000162_00401_d_0000001,45,<50,402,30,34,34,34,16,0,35,0,39,28,5,5,1,1
0000162_00801_d_0000001,30,<50,342,22,23,24,24,19,0,30,0,25,19,3,2,2,2
0000162_01058_d_0000001,57,50-100,582,36,40,43,43,13,0,23,0,48,32,9,8,0,0
0000163_00001_d_0000001,69,50-100,612,42,55,57,57,26,0,51,0,58,47,9,7,2,1
0000163_00359_d_0000001,54,50-100,384,28,34,35,35,13,0,26,0,49,31,5,3,0,0
0000165_04325_d_0000105,29,<50,386,18,20,21,21,13,0,26,0,14,9,12,9,3,2
0000166_00558_d_0000118,71,50-100,529,41,49,53,53,33,0,62,0,19,12,39,28,13,9
0000193_00000_d_0000103,63,50-100,600,40,48,49,49,25,0,51,0,54,39,9,9,0,0
0000193_01497_d_0000111,87,50-100,607,54,69,78,78,35,0,65,0,72,55,15,14,0,0
0000193_01705_d_0000112,134,100-150,834,61,83,96,100,35,0,62,0,117,66,17,17,0,0
0000193_01876_d_0000113,107,100-150,662,51,73,82,82,24,0,54,0,97,63,10,10,0,0
0000193_02029_d_0000114,93,50-100,728,40,62,68,69,16,0,46,0,82,52,11,10,0,0
0000193_02212_d_0000115,78,50-100,905,35,53,58,59,12,0,41,0,73,49,5,4,0,0
0000193_02416_d_0000116,50,50-100,500,20,34,36,36,2,0,12,0,47,31,3,3,0,0
0000193_02606_d_0000117,49,<50,470,23,27,31,31,4,0,24,0,48,27,1,0,0,0
0000193_02725_d_0000118,39,<50,443,23,28,30,30,2,0,12,0,38,27,1,1,0,0
0000194_00000_d_0000119,54,50-100,461,35,43,44,44,14,0,28,0,51,41,3,2,0,0
0000194_00200_d_0000120,76,50-100,505,37,48,50,50,18,0,46,0,67,39,9,9,0,0
0000194_00399_d_0000121,143,100-150,675,65,95,105,106,31,0,82,0,137,89,6,6,0,0
0000194_00625_d_0000122,83,50-100,563,47,61,67,67,17,0,63,0,73,51,10,10,0,0
0000194_00800_d_0000123,54,50-100,391,28,34,36,36,22,0,51,0,41,23,13,11,0,0
0000194_00998_d_0000124,42,<50,334,19,26,26,26,14,0,27,0,37,22,5,4,0,0
0000194_01192_d_0000125,23,<50,200,18,20,20,20,10,0,18,0,18,16,5,4,0,0
0000196_04512_d_0000144,69,50-100,591,35,45,46,46,17,0,34,0,62,38,7,7,0,0
0000199_01269_d_0000166,16,<50,175,13,13,13,13,13,0,23,0,7,4,8,8,1,1
0000213_02500_d_0000240,94,50-100,630,41,54,58,58,16,0,46,0,85,50,9,4,0,0
0000213_02965_d_0000241,94,50-100,706,55,69,77,77,34,0,56,0,62,41,29,25,3,3
0000213_03478_d_0000242,115,100-150,700,62,80,92,94,37,0,69,0,70,38,40,38,5,4
0000213_03920_d_0000243,164,150-300,898,65,108,127,133,38,0,84,0,98,50,60,52,6,6
0000213_04405_d_0000244,106,100-150,781,56,84,90,90,34,0,64,0,62,42,38,36,6,6
0000213_04998_d_0000245,137,100-150,986,62,85,101,107,30,0,77,0,94,50,38,30,5,5
0000213_05340_d_0000246,138,100-150,1000,64,97,110,113,43,0,87,0,95,60,40,34,3,3
0000213_05745_d_0000247,101,100-150,963,65,81,86,88,53,0,82,0,55,38,43,40,3,3
0000215_00000_d_0000256,157,150-300,665,49,71,88,89,37,0,60,0,132,47,24,23,1,1
0000215_00447_d_0000257,53,50-100,510,41,45,48,48,33,0,63,0,17,10,35,34,1,1
0000215_00909_d_0000258,93,50-100,542,59,77,81,81,40,0,54,0,54,39,37,36,2,2
0000215_01395_d_0000259,56,50-100,436,46,51,51,51,33,0,58,0,23,21,27,24,6,6
0000215_01869_d_0000260,78,50-100,541,48,64,71,71,37,0,73,0,50,36,24,24,4,4
0000215_02319_d_0000261,107,100-150,742,48,69,77,78,37,0,59,0,73,35,32,32,2,2
0000215_02667_d_0000262,83,50-100,722,61,67,73,73,49,0,80,0,48,35,35,32,0,0
0000215_02932_d_0000263,48,<50,405,37,39,40,40,35,0,47,0,18,13,27,23,3,3
0000215_03226_d_0000264,23,<50,332,21,21,21,21,10,0,23,0,12,11,10,9,1,1
0000216_00520_d_0000001,109,100-150,668,34,55,69,70,4,0,14,0,78,31,31,24,0,0
0000220_01242_d_0000004,37,<50,247,24,25,25,25,15,0,21,0,25,16,10,7,2,2
0000223_01802_d_0000005,64,50-100,485,39,47,50,50,29,0,54,0,41,28,23,19,0,0
0000237_00001_d_0000001,15,<50,337,8,10,10,10,2,0,3,0,13,8,2,2,0,0
0000242_00001_d_0000001,42,<50,395,27,31,32,32,19,0,28,0,28,21,13,9,1,1
0000242_00500_d_0000002,53,50-100,469,33,39,40,40,17,0,31,0,41,29,12,10,0,0
0000242_00627_d_0000003,45,<50,415,34,37,37,37,19,0,36,0,38,30,6,6,1,1
0000242_00843_d_0000004,2,<50,37,2,2,2,2,2,0,2,0,0,0,0,0,2,2
0000242_00963_d_0000005,13,<50,192,10,11,11,11,8,0,13,0,5,3,5,5,3,3
0000242_01139_d_0000006,72,50-100,438,36,46,50,50,17,0,31,0,65,40,7,6,0,0
0000242_01475_d_0000007,65,50-100,391,53,56,56,56,33,0,57,0,45,36,18,18,2,2
0000242_01912_d_0000008,50,50-100,392,25,26,26,26,16,0,25,0,49,25,1,1,0,0
0000242_02400_d_0000009,34,<50,342,28,32,33,33,20,0,30,0,29,27,5,5,0,0
0000242_02762_d_0000010,33,<50,460,28,30,30,30,22,0,35,0,24,21,9,9,0,0
0000242_03199_d_0000011,9,<50,92,7,7,7,7,2,0,6,0,6,4,3,3,0,0
0000242_03668_d_0000012,41,<50,526,24,30,31,31,21,0,28,0,29,19,11,10,1,1
0000242_04116_d_0000013,8,<50,144,4,5,5,5,4,0,7,0,5,2,3,3,0,0
0000242_04600_d_0000014,29,<50,201,27,28,28,28,19,0,25,0,14,13,15,15,0,0
0000242_05059_d_0000015,37,<50,285,14,18,18,18,3,0,6,0,36,17,1,1,0,0
0000242_05570_d_0000016,32,<50,327,24,26,26,26,13,0,20,0,30,24,2,2,0,0
0000242_06010_d_0000017,41,<50,227,18,22,22,22,6,0,17,0,40,21,1,1,0,0
0000242_06452_d_0000018,12,<50,293,11,11,11,11,5,0,17,0,10,9,2,2,0,0
0000244_00001_d_0000001,46,<50,416,35,39,40,40,19,0,25,0,39,32,7,7,0,0
0000244_00500_d_0000002,32,<50,370,19,23,23,23,15,0,29,0,28,19,4,4,0,0
0000244_01000_d_0000003,122,100-150,524,37,52,56,56,19,0,37,0,114,45,8,7,0,0
0000244_01500_d_0000004,96,50-100,556,51,66,70,70,17,0,42,0,92,62,4,4,0,0
0000244_02000_d_0000005,129,100-150,708,53,72,75,80,24,0,46,0,122,66,7,6,0,0
0000244_02500_d_0000006,113,100-150,770,50,70,75,75,22,0,44,0,102,59,11,11,0,0
0000244_03000_d_0000007,44,<50,457,31,33,33,33,16,0,25,0,39,28,5,5,0,0
0000244_03500_d_0000008,146,100-150,932,44,69,80,89,20,0,42,0,129,59,17,10,0,0
0000244_04000_d_0000009,56,50-100,437,38,43,43,43,19,0,39,0,41,31,13,10,2,2
0000244_04400_d_0000010,101,100-150,997,56,72,83,87,37,0,85,0,78,50,22,22,1,0
0000244_04900_d_0000011,106,100-150,885,69,93,98,100,41,0,74,0,73,60,33,33,0,0
0000244_05400_d_0000012,90,50-100,780,54,64,70,73,28,0,56,0,78,52,12,12,0,0
0000244_05900_d_0000013,66,50-100,582,35,41,46,46,18,0,32,0,65,40,1,1,0,0
0000244_06388_d_0000014,46,<50,425,27,30,31,31,6,0,15,0,46,30,0,0,0,0
0000249_00001_d_0000001,80,50-100,627,37,41,43,43,20,0,38,0,72,36,8,5,0,0
0000249_00235_d_0000002,85,50-100,419,42,53,55,55,24,0,34,0,71,40,14,13,0,0
0000249_00603_d_0000003,48,<50,271,27,29,29,29,17,0,21,0,45,26,3,3,0,0
0000249_01100_d_0000004,27,<50,330,23,25,25,25,11,0,20,0,23,21,4,4,0,0
0000249_01514_d_0000005,51,50-100,537,36,41,43,43,27,0,38,0,36,27,15,14,0,0
0000249_01635_d_0000006,80,50-100,500,33,38,40,40,19,0,36,0,71,29,9,9,0,0
0000249_02073_d_0000007,67,50-100,382,26,33,34,34,13,0,23,0,61,29,6,4,0,0
0000249_02468_d_0000008,18,<50,226,10,11,11,11,5,0,6,0,11,7,7,4,0,0
0000249_02900_d_0000009,101,100-150,717,55,74,77,77,31,0,50,0,89,62,12,12,0,0
0000249_03400_d_0000010,92,50-100,678,57,74,80,81,33,0,55,0,79,61,13,13,0,0
0000249_03900_d_0000011,85,50-100,454,43,48,52,52,20,0,36,0,73,37,12,11,0,0
0000253_00001_d_0000001,106,100-150,276,40,73,73,73,0,0,3,0,106,73,0,0,0,0
0000256_00715_d_0000019,90,50-100,587,48,58,65,65,30,0,64,0,76,45,11,10,3,3
0000256_02173_d_0000030,47,<50,528,29,38,39,39,12,0,39,0,28,22,16,13,3,3
0000263_02401_d_0000179,17,<50,221,17,17,17,17,13,0,20,0,6,6,6,6,5,5
0000269_00001_d_0000348,128,100-150,597,54,63,63,63,35,0,53,0,106,42,21,20,1,1
0000269_00201_d_0000349,47,<50,483,45,47,47,47,36,0,49,0,27,27,20,20,0,0
0000269_00601_d_0000351,93,50-100,633,57,69,74,74,43,0,63,0,72,50,21,19,0,0
0000271_00001_d_0000374,58,50-100,543,37,47,51,51,20,0,44,0,39,31,17,14,2,2
0000271_00201_d_0000375,75,50-100,650,48,61,65,65,40,0,75,0,48,38,27,23,0,0
0000271_00401_d_0000376,25,<50,418,13,17,18,18,16,0,25,0,16,10,8,6,1,1
0000271_00601_d_0000377,79,50-100,670,43,54,58,58,33,0,70,0,61,42,15,11,3,1
0000271_00801_d_0000378,63,50-100,590,37,40,41,41,31,0,61,0,48,29,15,11,0,0
0000271_01201_d_0000379,59,50-100,579,36,42,45,45,23,0,56,0,36,23,21,17,2,2
0000271_01401_d_0000380,55,50-100,754,37,44,46,46,38,0,67,0,36,26,17,16,2,2
0000271_01601_d_0000381,48,<50,607,27,32,35,35,28,0,40,0,34,21,13,10,1,1
0000271_02401_d_0000385,84,50-100,711,36,50,55,55,25,0,50,0,58,30,25,20,1,0
0000271_02601_d_0000386,79,50-100,806,44,58,63,65,35,0,63,0,51,32,23,21,5,5
0000271_03001_d_0000387,56,50-100,806,33,42,44,44,28,0,59,0,44,31,10,9,2,2
0000271_03801_d_0000391,57,50-100,487,40,44,45,45,24,0,46,0,41,28,16,16,0,0
0000271_04401_d_0000394,86,50-100,576,49,63,63,63,39,0,61,0,60,40,24,21,2,2
0000271_04801_d_0000396,50,50-100,545,36,39,39,39,20,0,37,0,33,24,17,15,0,0
0000271_05001_d_0000397,90,50-100,698,44,54,62,63,28,0,53,0,78,46,11,8,1,0
0000271_05201_d_0000398,70,50-100,560,51,55,57,57,34,0,50,0,44,35,24,19,2,1
0000271_05401_d_0000399,71,50-100,387,40,45,48,48,34,0,45,0,50,29,17,12,4,4
0000271_05601_d_0000400,86,50-100,494,48,60,62,62,30,0,55,0,67,43,17,15,2,2
0000271_05801_d_0000401,104,100-150,468,64,76,81,81,41,0,65,0,64,48,36,26,4,2
0000271_06001_d_0000402,158,150-300,698,74,106,115,115,60,0,85,0,106,56,46,44,6,6
0000271_06201_d_0000403,142,100-150,696,66,93,110,111,48,0,67,0,87,49,53,42,2,2
0000271_06401_d_0000404,128,100-150,655,72,90,97,97,46,0,70,0,74,46,51,41,3,3
0000271_06601_d_0000405,105,100-150,627,72,89,95,95,59,0,80,0,42,30,59,55,4,4
0000271_06801_d_0000406,95,50-100,597,68,83,84,84,55,0,70,0,45,35,46,44,4,4
